run_id,task,model,seed,horizon,skill,change_skill,proprio_skill,mse_model,mse_persist,proprio_mse_model,proprio_mse_persist,param_count,train_step_time_ms,mamba_backend,deterministic_encode_max_abs_diff
maze_stage2_pred_adaln_depth1_lance_h4_seed234,PointMaze,AdaLN,234,1,0.3599910607306539,0.6180880571846115,0.9191604054294473,0.008603505928099888,0.013442790249026702,0.03007179536849077,0.3719933966547251,343480,306.673011218,,0.0
maze_stage2_pred_adaln_depth1_lance_h4_seed234,PointMaze,AdaLN,234,2,0.4332879471166057,0.6548288624129979,0.9246468200156762,0.010352021827072394,0.018266810762894447,0.047733960507025365,0.6334697555823893,343480,306.673011218,,0.0
maze_stage2_pred_adaln_depth1_lance_h4_seed234,PointMaze,AdaLN,234,3,0.411906872330126,0.6393343845026147,0.914685696556801,0.011834581585020805,0.02012365223839879,0.06845429211419808,0.802377671169453,343480,306.673011218,,0.0
maze_stage2_pred_adaln_depth1_lance_h4_seed234,PointMaze,AdaLN,234,4,0.3631363304669045,0.6140660787868543,0.895851400843818,0.01320489484328227,0.020734256756965254,0.09291570103024972,0.8921454708278179,343480,306.673011218,,0.0
maze_stage2_pred_adaln_depth1_lance_h4_seed234,PointMaze,AdaLN,234,5,0.3095519432781285,0.588642943273932,0.8717626509688448,0.014545116466088373,0.02106619944032587,0.11807175968285101,0.9207283258340397,343480,306.673011218,,0.0
maze_stage2_pred_adaln_depth1_lance_h4_seed234,PointMaze,AdaLN,234,6,0.2574193923821452,0.5664032635832873,0.8450169427797725,0.015896624747480527,0.021407271593686987,0.14134829421833037,0.9120241706,343480,306.673011218,,0.0
maze_stage2_pred_mgvt_convmixer_lance_h4_seed234,PointMaze,mgvt_convmixer,234,1,0.30201065868062593,0.523165182939245,0.9067911072022747,0.009382924311412652,0.013442790249026702,0.037178779449390215,0.3988758833352171,336279,94.16746330799967,,0.0
maze_stage2_pred_mgvt_convmixer_lance_h4_seed234,PointMaze,mgvt_convmixer,234,2,0.443157317876666,0.6158597852827742,0.908974685308366,0.010171739899049528,0.018266810762894447,0.061966533497143844,0.6807615409742613,336279,94.16746330799967,,0.0
maze_stage2_pred_mgvt_convmixer_lance_h4_seed234,PointMaze,mgvt_convmixer,234,3,0.4393697177974093,0.6195961560473764,0.896687134560934,0.01128192883336031,0.02012365223839879,0.08885985467491335,0.8601044438877067,336279,94.16746330799967,,0.0
maze_stage2_pred_mgvt_convmixer_lance_h4_seed234,PointMaze,mgvt_convmixer,234,4,0.41930123638234407,0.6064675877457596,0.8777034225455453,0.01204035726330075,0.020734256756965254,0.11613099530079692,0.9495849983540715,336279,94.16746330799967,,0.0
