epoch,itr,loss,gpu-time(ms),iter-time(ms),act_max,act_mean,act_min,act_std,head_loss,info/transition_model/lr,info/transition_model/wd,optim/transition_model/first_moment,optim/transition_model/grad_norm,optim/transition_model/second_moment,predictor_loss,train_rollout/loss/1,train_rollout/loss/2,train_rollout/loss/3,train_rollout/loss/4,train_rollout/proprio_cos_loss/1,train_rollout/proprio_cos_loss/2,train_rollout/proprio_cos_loss/3,train_rollout/proprio_cos_loss/4,train_rollout/proprio_l1_loss/1,train_rollout/proprio_l1_loss/2,train_rollout/proprio_l1_loss/3,train_rollout/proprio_l1_loss/4,train_rollout/proprio_l2_loss/1,train_rollout/proprio_l2_loss/2,train_rollout/proprio_l2_loss/3,train_rollout/proprio_l2_loss/4,train_rollout/proprio_smooth_l1_loss/1,train_rollout/proprio_smooth_l1_loss/2,train_rollout/proprio_smooth_l1_loss/3,train_rollout/proprio_smooth_l1_loss/4,train_rollout/visual_cos_loss/1,train_rollout/visual_cos_loss/2,train_rollout/visual_cos_loss/3,train_rollout/visual_cos_loss/4,train_rollout/visual_l1_loss/1,train_rollout/visual_l1_loss/2,train_rollout/visual_l1_loss/3,train_rollout/visual_l1_loss/4,train_rollout/visual_l2_loss/1,train_rollout/visual_l2_loss/2,train_rollout/visual_l2_loss/3,train_rollout/visual_l2_loss/4,train_rollout/visual_smooth_l1_loss/1,train_rollout/visual_smooth_l1_loss/2,train_rollout/visual_smooth_l1_loss/3,train_rollout/visual_smooth_l1_loss/4
1,0,5.30021,1355.04700,1516.93916,2.21875,0.01892,-2.21875,0.94922,0.00000,0.00050,0.00000,0.00010,4.96316,0.00000,5.30021,2.51869,5.12772,6.68746,7.37071,-0.97779,-0.93219,-0.87376,-0.79935,0.60539,1.41408,1.73967,1.85510,0.56701,3.06170,4.70260,5.40890,0.26396,0.97984,1.29419,1.40866,-0.02405,0.03325,-0.00713,-0.01848,1.09389,1.13349,1.11545,1.09989,1.95168,2.06602,1.98486,1.96182,0.69130,0.72611,0.70872,0.69471
1,1,4.02579,175.98221,277.50731,2.25000,-0.14160,-2.09375,0.96875,0.00000,0.00050,0.00000,0.00017,5.20179,0.00000,4.02579,2.43933,4.08160,4.87323,5.19686,-0.99631,-0.98827,-0.98195,-0.97395,0.68897,1.28941,1.51052,1.60415,0.66741,2.28266,3.13597,3.53159,0.31461,0.84805,1.05979,1.14810,-0.11392,-0.10031,-0.13106,-0.16698,1.03940,1.05554,1.04354,1.01611,1.77192,1.79895,1.73726,1.66527,0.64299,0.65445,0.64324,0.61849
1,2,3.49104,159.83961,266.67118,2.15625,-0.14355,-2.12500,0.99219,0.00000,0.00050,0.00000,0.00022,5.89900,0.00000,3.49104,2.11581,3.35513,4.29738,4.61902,-0.99368,-0.97932,-0.96378,-0.94111,0.59482,1.13060,1.40157,1.49417,0.53031,1.83860,2.85384,3.27078,0.25372,0.71117,0.96653,1.05504,-0.20715,-0.24160,-0.27806,-0.32569,0.98102,0.96473,0.95167,0.91380,1.58550,1.51653,1.44355,1.34824,0.59117,0.57242,0.55952,0.52739
1,3,2.63208,146.34743,263.47351,2.20312,0.04443,-2.14062,0.98828,0.00000,0.00050,0.00000,0.00026,6.04893,0.00000,2.63208,1.81383,2.47332,3.18244,3.42148,-0.99609,-0.98658,-0.97583,-0.97191,0.54401,0.89604,1.14682,1.22943,0.44428,1.23928,2.02018,2.32497,0.21585,0.51424,0.74135,0.81813,-0.31515,-0.38290,-0.41878,-0.45165,0.91084,0.86558,0.85222,0.82034,1.36955,1.23404,1.16227,1.09651,0.52871,0.48517,0.47097,0.44525
1,4,1.85006,144.04720,229.32410,2.32812,-0.06494,-2.31250,1.02344,0.00000,0.00050,0.00000,0.00029,4.82157,0.00000,1.85006,1.41841,1.67277,2.11757,2.47519,-0.98526,-0.92650,-0.89430,-0.87015,0.41784,0.69101,0.92363,1.07159,0.25729,0.65712,1.14846,1.53552,0.12798,0.31131,0.50713,0.64168,-0.41939,-0.49214,-0.51540,-0.53012,0.83911,0.78368,0.77327,0.75682,1.16112,1.01564,0.96911,0.93967,0.46507,0.41415,0.40356,0.39098
1,5,1.44656,154.68579,249.31192,2.29688,0.00656,-2.17188,0.98828,0.00000,0.00050,0.00000,0.00031,3.45493,0.00000,1.44656,1.18708,1.35339,1.61670,1.86647,-0.98720,-0.95463,-0.90417,-0.83544,0.36990,0.57975,0.73946,0.84735,0.20715,0.48936,0.78754,1.03894,0.10298,0.23533,0.36263,0.45540,-0.50999,-0.56796,-0.58539,-0.58621,0.76960,0.72054,0.70999,0.70697,0.97993,0.86403,0.82917,0.82753,0.40508,0.36179,0.35185,0.35015
2,0,0.95721,161.44823,218.16325,1.95312,-0.30664,-2.20312,0.95703,0.00000,0.00050,0.00000,0.00033,2.38717,0.00000,0.95721,0.94301,0.95514,1.01951,1.09980,-0.98682,-0.95600,-0.90986,-0.86241,0.27340,0.35963,0.43577,0.49812,0.11651,0.20503,0.29038,0.37166,0.05802,0.10070,0.14205,0.18087,-0.58673,-0.62492,-0.63541,-0.63591,0.70465,0.66699,0.66020,0.65885,0.82649,0.75011,0.72914,0.72815,0.35057,0.31950,0.31307,0.31228
2,1,0.70420,234.06548,314.88419,2.17188,-0.05420,-2.18750,0.99219,0.00000,0.00050,0.00000,0.00034,1.61888,0.00000,0.70420,0.78311,0.73367,0.72785,0.72877,-0.99616,-0.98785,-0.98175,-0.97783,0.21543,0.21155,0.21110,0.20436,0.07618,0.07693,0.07135,0.06423,0.03802,0.03819,0.03555,0.03210,-0.64651,-0.67161,-0.67173,-0.66772,0.64825,0.62034,0.62131,0.62535,0.70693,0.65674,0.65650,0.66454,0.30506,0.28340,0.28406,0.28720
2,2,0.60755,225.19676,336.09891,2.17188,-0.03638,-2.31250,0.99219,0.00000,0.00050,0.00000,0.00032,1.27470,0.00000,0.60755,0.64406,0.61921,0.63302,0.66273,-0.99323,-0.98266,-0.96082,-0.93145,0.11546,0.11674,0.16520,0.22272,0.02918,0.02514,0.04281,0.07352,0.01456,0.01256,0.02140,0.03676,-0.69255,-0.70296,-0.70488,-0.70538,0.60098,0.58730,0.58513,0.58427,0.61488,0.59406,0.59021,0.58921,0.26897,0.25919,0.25788,0.25736
2,3,0.57483,170.23523,271.39926,1.96875,-0.27539,-2.20312,0.99609,0.00000,0.00050,0.00000,0.00030,1.07248,0.00000,0.57483,0.57051,0.57307,0.60878,0.66106,-0.98746,-0.94542,-0.89279,-0.83394,0.10283,0.14971,0.20345,0.26671,0.01940,0.03546,0.06497,0.11408,0.00970,0.01773,0.03249,0.05704,-0.72443,-0.73118,-0.72809,-0.72650,0.56464,0.55471,0.55868,0.56011,0.55111,0.53762,0.54380,0.54698,0.24310,0.23650,0.23925,0.24037
