task,model,horizon,n,skill_mean,skill_std,change_skill_mean,change_skill_std,moved_region_change_skill_mean,moved_region_change_skill_std,proprio_skill_mean,proprio_skill_std,param_count_mean,flops_per_forward_mean,train_step_time_ms_mean,mamba_backend,seeds
Wall,mgvt_d_mlp,1,1,-6.710112871147454,0.0,-1.0125992758686566,0.0,-3.6752512306476293,0.0,-46.25636371532911,0.0,469152,1369374720,198.30521499999998,,234
Wall,mgvt_d_mlp,2,1,-3.8051208869307738,0.0,-0.25107040311332707,0.0,-1.8103568368496843,0.0,-14.55304944535646,0.0,469152,1369374720,198.30521499999998,,234
Wall,mgvt_d_mlp,3,1,-3.133882394389498,0.0,-0.05269369013262071,0.0,-1.362883373358482,0.0,-7.577620746997026,0.0,469152,1369374720,198.30521499999998,,234
Wall,mgvt_d_mlp,4,1,-2.8054644085676554,0.0,0.03413528580128988,0.0,-1.15289013499491,0.0,-4.876314630861894,0.0,469152,1369374720,198.30521499999998,,234
Wall,mgvt_d_mlp,5,1,-2.663954507340333,0.0,0.08057561489540843,0.0,-1.051214624452522,0.0,-3.4639831762104256,0.0,469152,1369374720,198.30521499999998,,234
Wall,mgvt_d_mlp,6,1,-2.572217331196023,0.0,0.10492354364695033,0.0,-0.991398723107991,0.0,-2.636660310278248,0.0,469152,1369374720,198.30521499999998,,234
