task,model,horizon,n,skill_mean,skill_std,change_skill_mean,change_skill_std,moved_region_change_skill_mean,moved_region_change_skill_std,proprio_skill_mean,proprio_skill_std,param_count_mean,flops_per_forward_mean,train_step_time_ms_mean,mamba_backend,seeds
Wall,AdaLN,1,1,-9.310105262814742,0.0,-1.289434868584943,0.0,-4.924606179807815,0.0,-0.7920453597223103,0.0,852704,0,271.46762083333334,,234
Wall,AdaLN,2,1,-5.418237918328326,0.0,-0.3804092212460781,0.0,-2.53401480290483,0.0,-0.726611468248092,0.0,852704,0,271.46762083333334,,234
Wall,AdaLN,3,1,-4.295664574732131,0.0,-0.14547707692312994,0.0,-1.8725355050222015,0.0,-1.020470754604565,0.0,852704,0,271.46762083333334,,234
Wall,AdaLN,4,1,-3.7786933404886485,0.0,-0.04303348159686782,0.0,-1.5753445928413314,0.0,-1.2327870914967511,0.0,852704,0,271.46762083333334,,234
Wall,AdaLN,5,1,-3.4675606592262733,0.0,0.017100405866950052,0.0,-1.39477517467766,0.0,-1.3356912900514364,0.0,852704,0,271.46762083333334,,234
Wall,AdaLN,6,1,-3.270928417211631,0.0,0.051075884805797056,0.0,-1.2870267177363774,0.0,-1.3762091500045122,0.0,852704,0,271.46762083333334,,234
