task,model,horizon,n,skill_mean,skill_std,change_skill_mean,change_skill_std,moved_region_change_skill_mean,moved_region_change_skill_std,proprio_skill_mean,proprio_skill_std,param_count_mean,flops_per_forward_mean,train_step_time_ms_mean,mamba_backend,seeds
Wall,mgvt_d_gru,1,1,-7.5250761018248955,0.0,-1.1137548987800279,0.0,-4.095392896720029,0.0,-45.477965644939076,0.0,551968,1369473024,196.96094833333336,,234
Wall,mgvt_d_gru,2,1,-4.389573184569216,0.0,-0.31735627016484624,0.0,-2.1009077831541547,0.0,-14.402157653819284,0.0,551968,1369473024,196.96094833333336,,234
Wall,mgvt_d_gru,3,1,-3.7442848078826074,0.0,-0.11478782574797419,0.0,-1.6572483142798369,0.0,-7.514926509101022,0.0,551968,1369473024,196.96094833333336,,234
Wall,mgvt_d_gru,4,1,-3.3399613773233323,0.0,-0.019002476081152242,0.0,-1.4090882647998049,0.0,-4.847129409571188,0.0,551968,1369473024,196.96094833333336,,234
Wall,mgvt_d_gru,5,1,-3.1248813016619623,0.0,0.03376082671764413,0.0,-1.2724007937399984,0.0,-3.4430523896031477,0.0,551968,1369473024,196.96094833333336,,234
Wall,mgvt_d_gru,6,1,-2.9662332978269856,0.0,0.06514671667214156,0.0,-1.1807213304806554,0.0,-2.6119907810857526,0.0,551968,1369473024,196.96094833333336,,234
