epoch,itr,loss,gpu-time(ms),iter-time(ms),act_max,act_mean,act_min,act_std,head_loss,info/transition_model/lr,info/transition_model/wd,mgvt_d/d_h_mean,mgvt_d/d_h_std,mgvt_d/guidance_gate_mean,mgvt_d/guidance_norm,optim/transition_model/first_moment,optim/transition_model/grad_norm,optim/transition_model/second_moment,predictor_loss,train_rollout/loss/1,train_rollout/loss/2,train_rollout/loss/3,train_rollout/loss/4,train_rollout/proprio_cos_loss/1,train_rollout/proprio_cos_loss/2,train_rollout/proprio_cos_loss/3,train_rollout/proprio_cos_loss/4,train_rollout/proprio_l1_loss/1,train_rollout/proprio_l1_loss/2,train_rollout/proprio_l1_loss/3,train_rollout/proprio_l1_loss/4,train_rollout/proprio_l2_loss/1,train_rollout/proprio_l2_loss/2,train_rollout/proprio_l2_loss/3,train_rollout/proprio_l2_loss/4,train_rollout/proprio_smooth_l1_loss/1,train_rollout/proprio_smooth_l1_loss/2,train_rollout/proprio_smooth_l1_loss/3,train_rollout/proprio_smooth_l1_loss/4,train_rollout/visual_cos_loss/1,train_rollout/visual_cos_loss/2,train_rollout/visual_cos_loss/3,train_rollout/visual_cos_loss/4,train_rollout/visual_l1_loss/1,train_rollout/visual_l1_loss/2,train_rollout/visual_l1_loss/3,train_rollout/visual_l1_loss/4,train_rollout/visual_l2_loss/1,train_rollout/visual_l2_loss/2,train_rollout/visual_l2_loss/3,train_rollout/visual_l2_loss/4,train_rollout/visual_smooth_l1_loss/1,train_rollout/visual_smooth_l1_loss/2,train_rollout/visual_smooth_l1_loss/3,train_rollout/visual_smooth_l1_loss/4
1,0,2.33945,1051.13501,1166.75520,2.21875,0.01892,-2.21875,0.94922,0.00000,0.00050,0.00000,-0.00372,0.06128,0.50000,0.10303,0.00007,3.88280,0.00000,2.33945,2.47538,2.54840,2.41116,2.41795,0.02787,-0.04569,0.05854,0.06255,0.56130,0.56276,0.56385,0.56271,0.45891,0.45622,0.46748,0.46964,0.22185,0.22178,0.22526,0.22520,0.00834,0.04620,-0.02807,-0.02575,1.12363,1.13682,1.09469,1.09557,2.01648,2.09218,1.94367,1.94831,0.71707,0.72964,0.69047,0.69285
1,1,2.09862,156.14000,215.86967,2.25000,-0.14160,-2.09375,0.96875,0.00000,0.00050,0.00000,-0.00848,0.07178,0.50000,0.10387,0.00012,4.07334,0.00000,2.09862,2.28976,2.22986,2.15028,2.18254,-0.32833,-0.27633,-0.25541,-0.22397,0.68999,0.69735,0.69553,0.69052,0.74629,0.74903,0.76006,0.75740,0.33692,0.33924,0.34147,0.33968,-0.22819,-0.25951,-0.30482,-0.28735,0.98321,0.96021,0.92746,0.93548,1.54348,1.48083,1.39022,1.42515,0.58920,0.56820,0.54048,0.54924
1,2,1.64833,166.17340,220.10875,2.15625,-0.14355,-2.12500,0.99219,0.00000,0.00050,0.00000,-0.01611,0.09033,0.50000,0.11048,0.00015,3.34885,0.00000,1.64833,1.78569,1.72522,1.71188,1.72766,-0.42744,-0.42186,-0.44130,-0.41947,0.65708,0.66198,0.66689,0.67412,0.62143,0.62466,0.63661,0.65302,0.29718,0.29879,0.30433,0.31169,-0.41782,-0.44967,-0.46232,-0.46263,0.84714,0.82517,0.81333,0.81484,1.16426,1.10055,1.07527,1.07463,0.46932,0.44997,0.44056,0.44092
1,3,1.34968,125.86502,216.12501,2.20312,0.04443,-2.14062,0.98828,0.00000,0.00050,0.00000,-0.00885,0.09814,0.50000,0.11830,0.00017,2.70560,0.00000,1.34968,1.47737,1.44510,1.38954,1.38220,-0.32517,-0.32231,-0.31555,-0.28996,0.61568,0.61897,0.60009,0.60501,0.57360,0.59065,0.54482,0.53496,0.27148,0.27791,0.25992,0.25738,-0.54808,-0.57274,-0.57761,-0.57634,0.73726,0.71750,0.71200,0.71152,0.90377,0.85445,0.84471,0.84725,0.37836,0.36206,0.35735,0.35735
1,4,1.15068,116.42003,212.22496,2.32812,-0.06494,-2.31250,1.02344,0.00000,0.00050,0.00000,-0.02319,0.12012,0.50000,0.13104,0.00019,2.24979,0.00000,1.15068,1.22377,1.18592,1.20825,1.22954,-0.61625,-0.60846,-0.61282,-0.61529,0.54375,0.54002,0.55570,0.56576,0.48977,0.48473,0.50270,0.51862,0.22706,0.22571,0.23366,0.23998,-0.63297,-0.64938,-0.64720,-0.64451,0.65730,0.64430,0.64569,0.64672,0.73400,0.70119,0.70554,0.71093,0.31485,0.30401,0.30472,0.30594
1,5,1.05374,112.09866,217.89408,2.29688,0.00656,-2.17188,0.98828,0.00000,0.00050,0.00000,-0.04004,0.14648,0.50000,0.13975,0.00022,1.87751,0.00000,1.05374,1.12759,1.10698,1.09348,1.11244,-0.66120,-0.66818,-0.67917,-0.66760,0.56701,0.56252,0.55411,0.56236,0.50703,0.50493,0.48804,0.49789,0.24100,0.23986,0.23359,0.23792,-0.68969,-0.69895,-0.69725,-0.69270,0.60014,0.59255,0.59453,0.59782,0.62057,0.60206,0.60545,0.61455,0.27097,0.26487,0.26595,0.26875
2,0,0.92292,117.04263,177.40583,1.95312,-0.30664,-2.20312,0.95703,0.00000,0.00050,0.00000,-0.07080,0.17383,0.50000,0.15146,0.00024,1.50800,0.00000,0.92292,0.96629,0.96728,0.97502,0.97633,-0.47146,-0.46789,-0.48297,-0.46833,0.53801,0.54285,0.53802,0.53411,0.44397,0.45219,0.44633,0.43983,0.21483,0.21883,0.21545,0.21219,-0.73882,-0.74244,-0.73563,-0.73173,0.54685,0.54322,0.55096,0.55520,0.52232,0.51509,0.52869,0.53650,0.23140,0.22907,0.23437,0.23747
2,1,1.04240,159.37753,248.02256,2.17188,-0.05420,-2.18750,0.99219,0.00000,0.00050,0.00000,-0.08496,0.20312,0.50000,0.15470,0.00028,1.24941,0.00000,1.04240,1.07756,1.07195,1.10881,1.12679,-0.55119,-0.53585,-0.53796,-0.54411,0.65842,0.66177,0.66844,0.66811,0.61073,0.61119,0.62549,0.63212,0.28936,0.28974,0.29634,0.29892,-0.76657,-0.76961,-0.75832,-0.75265,0.51528,0.51193,0.52423,0.53025,0.46683,0.46075,0.48332,0.49467,0.20848,0.20637,0.21497,0.21929
2,2,0.87340,115.02243,206.95567,2.17188,-0.03638,-2.31250,0.99219,0.00000,0.00050,0.00000,-0.10010,0.22656,0.50000,0.15809,0.00032,1.04083,0.00000,0.87340,0.89947,0.90213,0.92938,0.94252,-0.68201,-0.67370,-0.67604,-0.67215,0.54912,0.55155,0.55424,0.55614,0.47104,0.46998,0.47729,0.48747,0.22233,0.22274,0.22571,0.22883,-0.78577,-0.78391,-0.77394,-0.77246,0.49236,0.49470,0.50553,0.50737,0.42843,0.43215,0.45209,0.45505,0.19255,0.19421,0.20190,0.20310
2,3,0.73807,126.35427,208.95338,1.96875,-0.27539,-2.20312,0.99609,0.00000,0.00050,0.00000,-0.11230,0.23926,0.50000,0.16123,0.00034,0.84445,0.00000,0.73807,0.75605,0.74252,0.78396,0.82097,-0.66696,-0.66986,-0.66032,-0.65041,0.47081,0.46149,0.46991,0.48896,0.35283,0.33736,0.34929,0.37805,0.17139,0.16468,0.16967,0.18218,-0.79838,-0.79740,-0.78265,-0.77853,0.47616,0.47761,0.49480,0.49919,0.40321,0.40516,0.43467,0.44292,0.18209,0.18300,0.19472,0.19788
