epoch,itr,loss,gpu-time(ms),iter-time(ms),act_max,act_mean,act_min,act_std,head_loss,info/transition_model/lr,info/transition_model/wd,mgvt_d/d_h_mean,mgvt_d/d_h_std,mgvt_d/guidance_gate_mean,mgvt_d/guidance_norm,optim/transition_model/first_moment,optim/transition_model/grad_norm,optim/transition_model/second_moment,predictor_loss,train_rollout/loss/1,train_rollout/loss/2,train_rollout/loss/3,train_rollout/loss/4,train_rollout/proprio_cos_loss/1,train_rollout/proprio_cos_loss/2,train_rollout/proprio_cos_loss/3,train_rollout/proprio_cos_loss/4,train_rollout/proprio_l1_loss/1,train_rollout/proprio_l1_loss/2,train_rollout/proprio_l1_loss/3,train_rollout/proprio_l1_loss/4,train_rollout/proprio_l2_loss/1,train_rollout/proprio_l2_loss/2,train_rollout/proprio_l2_loss/3,train_rollout/proprio_l2_loss/4,train_rollout/proprio_smooth_l1_loss/1,train_rollout/proprio_smooth_l1_loss/2,train_rollout/proprio_smooth_l1_loss/3,train_rollout/proprio_smooth_l1_loss/4,train_rollout/visual_cos_loss/1,train_rollout/visual_cos_loss/2,train_rollout/visual_cos_loss/3,train_rollout/visual_cos_loss/4,train_rollout/visual_l1_loss/1,train_rollout/visual_l1_loss/2,train_rollout/visual_l1_loss/3,train_rollout/visual_l1_loss/4,train_rollout/visual_l2_loss/1,train_rollout/visual_l2_loss/2,train_rollout/visual_l2_loss/3,train_rollout/visual_l2_loss/4,train_rollout/visual_smooth_l1_loss/1,train_rollout/visual_smooth_l1_loss/2,train_rollout/visual_smooth_l1_loss/3,train_rollout/visual_smooth_l1_loss/4
1,0,2.30294,1320.61719,1618.59560,3.92188,0.01135,-3.26562,1.00781,0.00000,0.00050,0.00000,-0.00304,0.05493,0.50000,0.10342,0.00007,3.92413,0.00000,2.30294,2.39865,2.30098,2.39468,2.59720,-0.01119,-0.12927,-0.02522,0.00314,0.51567,0.43609,0.50246,0.58475,0.45888,0.31881,0.42803,0.56797,0.21078,0.15398,0.20133,0.25878,-0.03002,-0.00881,-0.01657,0.01472,1.08578,1.11578,1.11085,1.12591,1.93976,1.98217,1.96665,2.02923,0.68388,0.70769,0.70488,0.71861
1,1,1.90147,137.59270,257.17258,4.34375,0.14453,-3.46875,1.01562,0.00000,0.00050,0.00000,-0.00301,0.07471,0.50000,0.10874,0.00010,3.70060,0.00000,1.90147,2.06769,1.93854,1.96006,2.05312,-0.26441,-0.26267,-0.31292,-0.17789,0.57807,0.54031,0.58121,0.62872,0.56123,0.49920,0.56581,0.62054,0.25387,0.22705,0.25618,0.28619,-0.24670,-0.28026,-0.30281,-0.28364,0.96197,0.95231,0.93413,0.93738,1.50645,1.43933,1.39425,1.43258,0.57117,0.55963,0.54477,0.55023
1,2,1.45404,125.26400,222.21041,3.26562,-0.04565,-3.28125,0.98828,0.00000,0.00050,0.00000,-0.00272,0.10498,0.50000,0.12274,0.00013,3.07534,0.00000,1.45404,1.65142,1.62526,1.44348,1.42628,-0.33726,-0.26792,-0.41252,-0.47146,0.52222,0.53373,0.43560,0.43951,0.47471,0.51306,0.34768,0.32424,0.21422,0.22726,0.15768,0.15465,-0.41160,-0.44385,-0.45206,-0.44894,0.85263,0.83494,0.82532,0.82562,1.17670,1.11220,1.09579,1.10203,0.47301,0.45660,0.44916,0.44936
1,3,1.12824,170.99326,271.61312,3.87500,0.02710,-2.62500,0.87109,0.00000,0.00050,0.00000,-0.00293,0.13574,0.50000,0.13234,0.00014,2.52799,0.00000,1.12824,1.20462,1.17057,1.18510,1.19358,-0.20978,-0.20663,-0.24898,-0.20362,0.41417,0.41376,0.43156,0.43353,0.27917,0.28342,0.30194,0.30575,0.13586,0.13797,0.14689,0.14749,-0.53723,-0.55639,-0.55838,-0.55605,0.75560,0.73847,0.73384,0.73569,0.92546,0.88716,0.88316,0.88783,0.39028,0.37663,0.37438,0.37551
1,4,1.17123,129.64496,224.29705,3.12500,-0.16699,-3.98438,1.02344,0.00000,0.00050,0.00000,-0.00916,0.14355,0.50000,0.13488,0.00016,2.10415,0.00000,1.17123,1.26529,1.27541,1.24319,1.15409,-0.47400,-0.47198,-0.48966,-0.48101,0.54047,0.57125,0.54850,0.49302,0.50836,0.55321,0.51032,0.41733,0.23070,0.25269,0.23374,0.19507,-0.62151,-0.63887,-0.63354,-0.63159,0.67700,0.66098,0.66432,0.66537,0.75692,0.72220,0.73287,0.73677,0.32704,0.31416,0.31769,0.31840
1,5,1.05575,144.60327,232.00703,7.15625,0.22168,-3.73438,1.01562,0.00000,0.00050,0.00000,-0.01965,0.19238,0.50000,0.13608,0.00017,1.71362,0.00000,1.05575,1.13691,0.96410,1.04923,1.30014,-0.54862,-0.54621,-0.57203,-0.61134,0.52626,0.47650,0.50325,0.56621,0.50292,0.34650,0.42192,0.66680,0.21810,0.16927,0.19790,0.26045,-0.68298,-0.69118,-0.68632,-0.68330,0.61253,0.60402,0.60756,0.61019,0.63399,0.61759,0.62731,0.63335,0.27805,0.27148,0.27466,0.27660
2,0,0.83261,211.95482,289.70408,2.93750,-0.12256,-3.59375,0.94141,0.00000,0.00050,0.00000,-0.02014,0.19531,0.50000,0.13283,0.00019,1.40290,0.00000,0.83261,0.89201,0.86149,0.87497,0.88036,-0.48707,-0.55853,-0.45533,-0.42736,0.46567,0.44863,0.46232,0.44459,0.36184,0.33589,0.33427,0.33617,0.17179,0.16116,0.16331,0.15871,-0.73489,-0.73718,-0.72963,-0.72789,0.55247,0.55009,0.55641,0.55782,0.53018,0.52560,0.54071,0.54419,0.23505,0.23311,0.23847,0.23959
2,1,0.82682,125.28896,247.27154,5.62500,-0.00430,-3.29688,1.07812,0.00000,0.00050,0.00000,-0.01770,0.19043,0.50000,0.12870,0.00021,1.11768,0.00000,0.82682,0.95260,0.86680,0.82331,0.85508,-0.51568,-0.53157,-0.56278,-0.51038,0.50254,0.46972,0.42161,0.45444,0.47233,0.38607,0.32072,0.34806,0.20808,0.18299,0.15310,0.16779,-0.75985,-0.75962,-0.74869,-0.74647,0.52156,0.52175,0.53175,0.53441,0.48027,0.48073,0.50259,0.50702,0.21401,0.21407,0.22209,0.22382
2,2,0.87065,125.21287,215.58690,3.03125,0.06226,-3.10938,1.00781,0.00000,0.00050,0.00000,-0.01221,0.21484,0.50000,0.12646,0.00024,0.93170,0.00000,0.87065,0.93252,1.00208,0.89592,0.83858,-0.54400,-0.51324,-0.57019,-0.58349,0.53098,0.56989,0.48985,0.44831,0.48521,0.55269,0.42321,0.36079,0.22277,0.25069,0.19479,0.16651,-0.77633,-0.77529,-0.76363,-0.76108,0.49986,0.50040,0.51293,0.51557,0.44731,0.44939,0.47271,0.47780,0.19977,0.20033,0.20930,0.21126
2,3,0.77961,147.09200,220.89338,3.01562,0.18457,-3.42188,0.91016,0.00000,0.00050,0.00000,-0.00897,0.22949,0.50000,0.12588,0.00023,0.77934,0.00000,0.77961,0.81102,0.81043,0.84794,0.81126,-0.41671,-0.38317,-0.38016,-0.46523,0.49755,0.50730,0.50388,0.46255,0.38126,0.37242,0.39530,0.35619,0.18555,0.18418,0.19131,0.17088,-0.78510,-0.78098,-0.77367,-0.77245,0.48653,0.49105,0.49835,0.49983,0.42976,0.43801,0.45264,0.45507,0.19182,0.19503,0.20021,0.20112
