epoch,itr,loss,gpu-time(ms),iter-time(ms),act_max,act_mean,act_min,act_std,head_loss,info/transition_model/lr,info/transition_model/wd,mgvt_d/d_h_mean,mgvt_d/d_h_std,mgvt_d/guidance_gate_mean,mgvt_d/guidance_norm,optim/transition_model/first_moment,optim/transition_model/grad_norm,optim/transition_model/second_moment,predictor_loss,train_rollout/loss/1,train_rollout/loss/2,train_rollout/loss/3,train_rollout/loss/4,train_rollout/proprio_cos_loss/1,train_rollout/proprio_cos_loss/2,train_rollout/proprio_cos_loss/3,train_rollout/proprio_cos_loss/4,train_rollout/proprio_l1_loss/1,train_rollout/proprio_l1_loss/2,train_rollout/proprio_l1_loss/3,train_rollout/proprio_l1_loss/4,train_rollout/proprio_l2_loss/1,train_rollout/proprio_l2_loss/2,train_rollout/proprio_l2_loss/3,train_rollout/proprio_l2_loss/4,train_rollout/proprio_smooth_l1_loss/1,train_rollout/proprio_smooth_l1_loss/2,train_rollout/proprio_smooth_l1_loss/3,train_rollout/proprio_smooth_l1_loss/4,train_rollout/visual_cos_loss/1,train_rollout/visual_cos_loss/2,train_rollout/visual_cos_loss/3,train_rollout/visual_cos_loss/4,train_rollout/visual_l1_loss/1,train_rollout/visual_l1_loss/2,train_rollout/visual_l1_loss/3,train_rollout/visual_l1_loss/4,train_rollout/visual_l2_loss/1,train_rollout/visual_l2_loss/2,train_rollout/visual_l2_loss/3,train_rollout/visual_l2_loss/4,train_rollout/visual_smooth_l1_loss/1,train_rollout/visual_smooth_l1_loss/2,train_rollout/visual_smooth_l1_loss/3,train_rollout/visual_smooth_l1_loss/4
1,0,2.28106,916.82208,1047.40214,2.23438,0.02747,-2.32812,1.00781,0.00000,0.00050,0.00000,0.00042,0.18945,0.50000,0.10522,0.00008,3.53044,0.00000,2.28106,2.41576,2.44926,2.35992,2.38246,0.04823,-0.01933,-0.01874,-0.02710,0.55217,0.57394,0.56011,0.53643,0.43886,0.46604,0.45138,0.42238,0.21268,0.22560,0.21755,0.20365,-0.01145,-0.00829,-0.04564,-0.01986,1.11396,1.10667,1.08463,1.10161,1.97690,1.98321,1.90854,1.96009,0.70598,0.70173,0.68086,0.69700
1,1,1.93356,118.52669,199.55730,2.28125,-0.13867,-2.21875,0.98438,0.00000,0.00050,0.00000,-0.00415,0.23926,0.50000,0.11293,0.00013,3.67600,0.00000,1.93356,2.10045,2.00073,2.03030,2.02285,-0.15434,-0.16893,-0.14361,-0.13235,0.61648,0.61499,0.63406,0.64259,0.58995,0.59180,0.62075,0.63371,0.26755,0.26863,0.28123,0.28614,-0.24468,-0.29547,-0.29516,-0.30536,0.96658,0.93195,0.93193,0.92786,1.51050,1.40893,1.40955,1.38915,0.57531,0.54357,0.54264,0.53870
1,2,1.59048,100.10717,159.34610,2.32812,0.17676,-2.25000,0.97266,0.00000,0.00050,0.00000,0.02026,0.27539,0.50391,0.12425,0.00016,3.02567,0.00000,1.59048,1.73889,1.63533,1.65657,1.67890,-0.50491,-0.50916,-0.50894,-0.50529,0.61644,0.60616,0.61910,0.63326,0.58592,0.56879,0.58661,0.61011,0.27249,0.26531,0.27301,0.28299,-0.42347,-0.46669,-0.46497,-0.46556,0.83807,0.80627,0.80587,0.80671,1.15298,1.06653,1.06996,1.06879,0.46330,0.43467,0.43353,0.43418
1,3,1.24153,101.22672,185.96768,2.28125,-0.02100,-2.23438,0.97656,0.00000,0.00050,0.00000,0.04517,0.34375,0.50000,0.13144,0.00018,2.58827,0.00000,1.24153,1.33864,1.27593,1.30405,1.31522,-0.21860,-0.19264,-0.18119,-0.19188,0.52064,0.51577,0.52449,0.53084,0.40673,0.39878,0.41984,0.43053,0.19962,0.19620,0.20578,0.21047,-0.53401,-0.56139,-0.55786,-0.55762,0.74714,0.72637,0.72632,0.72706,0.93191,0.87715,0.88421,0.88469,0.38766,0.36874,0.36901,0.36949
1,4,1.05910,111.24918,197.76702,2.31250,-0.10059,-2.21875,1.01562,0.00000,0.00050,0.00000,0.06445,0.38867,0.50000,0.14049,0.00020,2.21028,0.00000,1.05910,1.11838,1.06926,1.11633,1.15611,-0.52463,-0.52017,-0.51683,-0.48742,0.47498,0.45779,0.48526,0.50883,0.37042,0.34684,0.38565,0.41635,0.17706,0.16699,0.18366,0.19621,-0.62599,-0.63876,-0.63463,-0.63009,0.66472,0.65387,0.65637,0.66157,0.74796,0.72242,0.73068,0.73976,0.32050,0.31095,0.31278,0.31655
1,5,0.97640,115.42829,193.66837,2.04688,0.11084,-2.25000,0.98438,0.00000,0.00050,0.00000,0.08203,0.43164,0.50000,0.14761,0.00022,1.86225,0.00000,0.97640,1.01860,1.01659,1.03553,1.03859,-0.52827,-0.54243,-0.50845,-0.48072,0.48997,0.48995,0.50058,0.50696,0.39255,0.39994,0.40820,0.40833,0.18533,0.18839,0.19231,0.19269,-0.68695,-0.69165,-0.68631,-0.68485,0.60734,0.60276,0.60696,0.60830,0.62606,0.61666,0.62733,0.63025,0.27438,0.27070,0.27372,0.27473
2,0,0.93428,134.51411,212.05020,2.15625,0.00191,-2.35938,0.98828,0.00000,0.00050,0.00000,0.08887,0.49023,0.50000,0.15530,0.00024,1.52216,0.00000,0.93428,0.98834,1.01345,0.98098,0.95203,-0.45832,-0.43953,-0.44408,-0.45533,0.52482,0.54011,0.51265,0.49572,0.44565,0.47008,0.42432,0.39887,0.21073,0.22196,0.20298,0.19094,-0.72863,-0.72830,-0.72165,-0.72340,0.56237,0.56361,0.56984,0.56735,0.54270,0.54337,0.55667,0.55315,0.24089,0.24137,0.24584,0.24415
2,1,0.87721,123.18710,215.75809,2.23438,0.17480,-2.35938,1.01562,0.00000,0.00050,0.00000,0.09180,0.50391,0.50000,0.16221,0.00026,1.23022,0.00000,0.87721,0.90626,0.90522,0.93079,0.94780,-0.52465,-0.51487,-0.52167,-0.52355,0.52864,0.52444,0.53495,0.54307,0.42378,0.41465,0.43024,0.44949,0.20219,0.19775,0.20495,0.21320,-0.75875,-0.75470,-0.74971,-0.75083,0.52618,0.53149,0.53606,0.53483,0.48248,0.49057,0.50055,0.49831,0.21565,0.21917,0.22258,0.22161
2,2,0.71684,119.40413,209.29646,2.09375,-0.02087,-2.09375,1.00000,0.00000,0.00050,0.00000,0.09814,0.54297,0.50000,0.16837,0.00028,1.00024,0.00000,0.71684,0.73483,0.72353,0.76613,0.78986,-0.74223,-0.75886,-0.71252,-0.68120,0.41794,0.40281,0.42620,0.44621,0.29062,0.27696,0.29920,0.31791,0.14160,0.13504,0.14613,0.15546,-0.77788,-0.77670,-0.76652,-0.76401,0.50213,0.50438,0.51498,0.51843,0.44420,0.44656,0.46693,0.47195,0.19950,0.20077,0.20847,0.21056
2,3,0.89859,119.82675,184.81064,2.32812,0.19336,-2.17188,0.94141,0.00000,0.00050,0.00000,0.10059,0.55078,0.50000,0.17602,0.00031,0.86156,0.00000,0.89859,0.92174,0.90782,0.94930,0.99986,-0.60877,-0.61620,-0.60356,-0.57643,0.56466,0.55479,0.56768,0.59320,0.50765,0.49160,0.51319,0.55357,0.23594,0.22913,0.23807,0.25526,-0.79294,-0.79188,-0.78193,-0.77684,0.48336,0.48556,0.49611,0.50187,0.41408,0.41621,0.43611,0.44629,0.18677,0.18781,0.19564,0.19972
