epoch,itr,loss,gpu-time(ms),iter-time(ms),act_max,act_mean,act_min,act_std,head_loss,info/transition_model/lr,info/transition_model/wd,mgvt_d/d_h_mean,mgvt_d/d_h_std,mgvt_d/guidance_gate_mean,mgvt_d/guidance_norm,optim/transition_model/first_moment,optim/transition_model/grad_norm,optim/transition_model/second_moment,predictor_loss,train_rollout/loss/1,train_rollout/loss/2,train_rollout/loss/3,train_rollout/loss/4,train_rollout/proprio_cos_loss/1,train_rollout/proprio_cos_loss/2,train_rollout/proprio_cos_loss/3,train_rollout/proprio_cos_loss/4,train_rollout/proprio_l1_loss/1,train_rollout/proprio_l1_loss/2,train_rollout/proprio_l1_loss/3,train_rollout/proprio_l1_loss/4,train_rollout/proprio_l2_loss/1,train_rollout/proprio_l2_loss/2,train_rollout/proprio_l2_loss/3,train_rollout/proprio_l2_loss/4,train_rollout/proprio_smooth_l1_loss/1,train_rollout/proprio_smooth_l1_loss/2,train_rollout/proprio_smooth_l1_loss/3,train_rollout/proprio_smooth_l1_loss/4,train_rollout/visual_cos_loss/1,train_rollout/visual_cos_loss/2,train_rollout/visual_cos_loss/3,train_rollout/visual_cos_loss/4,train_rollout/visual_l1_loss/1,train_rollout/visual_l1_loss/2,train_rollout/visual_l1_loss/3,train_rollout/visual_l1_loss/4,train_rollout/visual_l2_loss/1,train_rollout/visual_l2_loss/2,train_rollout/visual_l2_loss/3,train_rollout/visual_l2_loss/4,train_rollout/visual_smooth_l1_loss/1,train_rollout/visual_smooth_l1_loss/2,train_rollout/visual_smooth_l1_loss/3,train_rollout/visual_smooth_l1_loss/4
1,0,2.19175,805.67426,939.45885,2.21875,0.01892,-2.21875,0.94922,0.00000,0.00050,0.00000,0.00153,0.02795,0.50000,0.10074,0.00012,3.63441,0.00000,2.19175,2.36392,2.31921,2.28387,2.27279,-0.01637,-0.01544,-0.08558,-0.04702,0.53759,0.53560,0.54114,0.54719,0.43247,0.42830,0.43080,0.43871,0.20832,0.20693,0.20754,0.21095,-0.03418,-0.05445,-0.07337,-0.08287,1.09741,1.08088,1.07458,1.07024,1.93146,1.89091,1.85307,1.83408,0.69379,0.67738,0.67048,0.66792
1,1,2.00189,126.96742,242.46025,2.25000,-0.14160,-2.09375,0.96875,0.00000,0.00050,0.00000,0.00307,0.02966,0.50000,0.10142,0.00020,3.64524,0.00000,2.00189,2.18414,2.12269,2.05027,2.08730,-0.16949,-0.26468,-0.24983,-0.24348,0.68835,0.68696,0.69263,0.68892,0.72253,0.71751,0.73478,0.73208,0.32752,0.32592,0.33242,0.33042,-0.26913,-0.29735,-0.34220,-0.32233,0.95829,0.93592,0.90389,0.92083,1.46160,1.40518,1.31549,1.35522,0.56577,0.54642,0.52061,0.53486
1,2,1.64687,162.75597,709.32674,2.15625,-0.14355,-2.12500,0.99219,0.00000,0.00050,0.00000,0.00368,0.03149,0.50000,0.10325,0.00025,3.08394,0.00000,1.64687,1.77840,1.72434,1.70302,1.73741,-0.36577,-0.40611,-0.38988,-0.37858,0.64929,0.65181,0.65131,0.65158,0.65897,0.65203,0.65809,0.67536,0.30152,0.29923,0.30130,0.30724,-0.44024,-0.46380,-0.47750,-0.46893,0.83632,0.81301,0.80178,0.80933,1.11943,1.07232,1.04492,1.06205,0.45847,0.44019,0.43039,0.43738
1,3,1.43538,122.07331,242.32149,2.20312,0.04443,-2.14062,0.98828,0.00000,0.00050,0.00000,0.00310,0.03271,0.50000,0.11413,0.00029,2.57187,0.00000,1.43538,1.54569,1.52174,1.48753,1.49569,-0.34921,-0.35478,-0.35122,-0.34384,0.66907,0.67290,0.66179,0.66317,0.67488,0.68174,0.65235,0.65554,0.31070,0.31351,0.30275,0.30419,-0.56456,-0.57997,-0.58238,-0.57989,0.73064,0.71285,0.71181,0.71352,0.87082,0.84000,0.83518,0.84016,0.37054,0.35693,0.35488,0.35691
1,4,1.13453,146.09689,194.89145,2.32812,-0.06494,-2.31250,1.02344,0.00000,0.00050,0.00000,0.00552,0.03687,0.50000,0.11855,0.00033,2.15798,0.00000,1.13453,1.19834,1.17201,1.19211,1.21535,-0.61988,-0.62271,-0.61273,-0.61490,0.55736,0.55153,0.56109,0.57376,0.48793,0.48093,0.49170,0.50848,0.23046,0.22825,0.23236,0.23844,-0.64477,-0.65444,-0.64977,-0.64654,0.65012,0.63807,0.64297,0.64618,0.71040,0.69107,0.70041,0.70687,0.30783,0.29907,0.30214,0.30477
1,5,1.01620,139.42009,187.87098,2.29688,0.00656,-2.17188,0.98828,0.00000,0.00050,0.00000,0.00861,0.04028,0.50000,0.12719,0.00038,1.80610,0.00000,1.01620,1.08178,1.06695,1.05544,1.07698,-0.67472,-0.68166,-0.68369,-0.67911,0.57048,0.56779,0.55810,0.56054,0.47788,0.46953,0.45549,0.46570,0.22853,0.22471,0.21904,0.22374,-0.69802,-0.70127,-0.70001,-0.69433,0.59296,0.58796,0.58996,0.59632,0.60391,0.59742,0.59994,0.61129,0.26569,0.26213,0.26284,0.26737
2,0,0.99428,96.10192,155.58577,1.95312,-0.30664,-2.20312,0.95703,0.00000,0.00050,0.00000,0.01160,0.04224,0.50000,0.13888,0.00043,1.50989,0.00000,0.99428,1.03887,1.04524,1.04931,1.05148,-0.52602,-0.51988,-0.52947,-0.52102,0.57126,0.57488,0.56804,0.56729,0.51699,0.52291,0.51534,0.51186,0.24033,0.24292,0.23908,0.23772,-0.73904,-0.73881,-0.73300,-0.73017,0.54975,0.54831,0.55383,0.55725,0.52189,0.52234,0.53397,0.53962,0.23322,0.23235,0.23642,0.23873
2,1,0.99064,110.27936,159.65128,2.17188,-0.05420,-2.18750,0.99219,0.00000,0.00050,0.00000,0.01263,0.04736,0.50000,0.14289,0.00048,1.28395,0.00000,0.99064,1.02365,1.01864,1.05394,1.07106,-0.59445,-0.58517,-0.58439,-0.58862,0.60868,0.61216,0.61459,0.60903,0.55411,0.55252,0.56148,0.56637,0.26199,0.26242,0.26584,0.26632,-0.76521,-0.76692,-0.75375,-0.74764,0.51849,0.51564,0.52903,0.53608,0.46954,0.46612,0.49246,0.50469,0.21118,0.20931,0.21908,0.22378
2,2,0.82712,83.24886,180.04847,2.17188,-0.03638,-2.31250,0.99219,0.00000,0.00050,0.00000,0.01544,0.04980,0.50000,0.14434,0.00054,1.09450,0.00000,0.82712,0.85225,0.86109,0.87976,0.88582,-0.68978,-0.68178,-0.68580,-0.68578,0.49973,0.50209,0.49707,0.49693,0.42188,0.42536,0.42178,0.42499,0.19744,0.19978,0.19770,0.19749,-0.78480,-0.78212,-0.77100,-0.76957,0.49493,0.49720,0.50911,0.51097,0.43037,0.43573,0.45797,0.46083,0.19469,0.19622,0.20487,0.20611
2,3,0.73131,95.16781,194.32783,1.96875,-0.27539,-2.20312,0.99609,0.00000,0.00050,0.00000,0.01917,0.05249,0.50000,0.14874,0.00059,0.93038,0.00000,0.73131,0.75181,0.73937,0.77664,0.80778,-0.67198,-0.67836,-0.67170,-0.65945,0.46861,0.45615,0.46253,0.48145,0.35063,0.33604,0.34240,0.36463,0.16824,0.16151,0.16473,0.17490,-0.79940,-0.79832,-0.78286,-0.77841,0.47569,0.47601,0.49376,0.49856,0.40118,0.40333,0.43424,0.44315,0.18192,0.18240,0.19470,0.19811
