run_id,task,model,seed,horizon,skill,change_skill,moved_region_change_skill,proprio_skill,param_count,flops_per_forward_estimate,train_step_time_ms,mamba_backend,deterministic_encode_max_abs_diff
maze_stage2c_pred_adaln_depth1_lance_h4_seed234,PointMaze,AdaLN,234,1,0.367066381842199,0.6161587276887923,0.48255518759613103,0.920329084741709,343480,,277.05917637700054,,0.0
maze_stage2c_pred_adaln_depth1_lance_h4_seed234,PointMaze,AdaLN,234,2,0.4486083760052676,0.6680033671800758,0.5590510348212465,0.9259217738802876,343480,,277.05917637700054,,0.0
maze_stage2c_pred_adaln_depth1_lance_h4_seed234,PointMaze,AdaLN,234,3,0.42632273550369704,0.6534838016115878,0.5450927213463612,0.9152805613246441,343480,,277.05917637700054,,0.0
maze_stage2c_pred_adaln_depth1_lance_h4_seed234,PointMaze,AdaLN,234,4,0.3744332538264008,0.6267944248663552,0.5090011164896591,0.8949813565637529,343480,,277.05917637700054,,0.0
maze_stage2c_pred_adaln_depth1_lance_h4_seed234,PointMaze,AdaLN,234,5,0.31622794671324783,0.5997557204741457,0.4686903690990645,0.8706519793432499,343480,,277.05917637700054,,0.0
maze_stage2c_pred_adaln_depth1_lance_h4_seed234,PointMaze,AdaLN,234,6,0.2576496571088829,0.5757311494797861,0.43059781040638756,0.8430998491828017,343480,,277.05917637700054,,0.0
maze_stage2c_pred_adaln_depth1_lance_h4_seed235,PointMaze,AdaLN,235,1,0.3167525145904583,0.5534009542094308,0.4264302810968409,0.9221482924902783,343480,,294.3261596539998,,0.0
maze_stage2c_pred_adaln_depth1_lance_h4_seed235,PointMaze,AdaLN,235,2,0.4095648259102864,0.6239592363414472,0.5173668564274512,0.9284171108090888,343480,,294.3261596539998,,0.0
maze_stage2c_pred_adaln_depth1_lance_h4_seed235,PointMaze,AdaLN,235,3,0.3924510884926451,0.6175918935707314,0.509503811825859,0.9111251461821235,343480,,294.3261596539998,,0.0
maze_stage2c_pred_adaln_depth1_lance_h4_seed235,PointMaze,AdaLN,235,4,0.3397346887911562,0.5915600575664977,0.4724573032315589,0.8909039636265237,343480,,294.3261596539998,,0.0
maze_stage2c_pred_adaln_depth1_lance_h4_seed235,PointMaze,AdaLN,235,5,0.2745366097254548,0.5613548090022118,0.4261860180191438,0.8632090135648163,343480,,294.3261596539998,,0.0
maze_stage2c_pred_adaln_depth1_lance_h4_seed235,PointMaze,AdaLN,235,6,0.21259278575851515,0.5355663885717044,0.38462104341548775,0.8327892049850927,343480,,294.3261596539998,,0.0
maze_stage2c_pred_adaln_depth1_lance_h4_seed236,PointMaze,AdaLN,236,1,0.25885891719760024,0.4838301571442537,0.3645281447316949,0.9392370547524249,343480,,268.2588074840003,,0.0
maze_stage2c_pred_adaln_depth1_lance_h4_seed236,PointMaze,AdaLN,236,2,0.37295381127991045,0.5757855991172505,0.4771093009339673,0.9407163334770775,343480,,268.2588074840003,,0.0
