task,model,horizon,n,skill_mean,skill_std,change_skill_mean,change_skill_std,proprio_skill_mean,proprio_skill_std,param_count_mean,train_step_time_ms_mean,mamba_backend,seeds
METAWORLD_HF:mw-reach-wall,AdaLN,1,1,0.37119633618504044,0.0,0.6478874758090263,0.0,0.9540183398352687,0.0,344680,302.4738639759991,,1
METAWORLD_HF:mw-reach-wall,AdaLN,2,1,0.5996397407776792,0.0,0.7830434174363571,0.0,0.9591287582488398,0.0,344680,302.4738639759991,,1
METAWORLD_HF:mw-reach-wall,AdaLN,3,1,0.677862985689478,0.0,0.8282246880700409,0.0,0.9562658615062696,0.0,344680,302.4738639759991,,1
METAWORLD_HF:mw-reach-wall,AdaLN,4,1,0.7141467421104901,0.0,0.8479528671581185,0.0,0.9537869645061721,0.0,344680,302.4738639759991,,1
METAWORLD_HF:mw-reach-wall,AdaLN,5,1,0.7340105677366509,0.0,0.8573416975443966,0.0,0.9521266861767694,0.0,344680,302.4738639759991,,1
METAWORLD_HF:mw-reach-wall,AdaLN,6,1,0.7435795209300464,0.0,0.8609836759818001,0.0,0.9507656432504006,0.0,344680,302.4738639759991,,1
METAWORLD_HF:mw-reach-wall,mgvt_convmixer,1,1,0.13524824877751818,0.0,0.5024143068722426,0.0,0.5617528894161434,0.0,337469,95.36834347000016,,1
METAWORLD_HF:mw-reach-wall,mgvt_convmixer,2,1,0.4286165222092049,0.0,0.6578361797808285,0.0,0.6335380793343124,0.0,337469,95.36834347000016,,1
METAWORLD_HF:mw-reach-wall,mgvt_convmixer,3,1,0.5165322687714567,0.0,0.7061123230005071,0.0,0.6519691857282931,0.0,337469,95.36834347000016,,1
METAWORLD_HF:mw-reach-wall,mgvt_convmixer,4,1,0.5608506037517622,0.0,0.7278693812710868,0.0,0.6600965658949054,0.0,337469,95.36834347000016,,1
METAWORLD_HF:mw-reach-wall,mgvt_convmixer,5,1,0.5814427498768278,0.0,0.7366962636881477,0.0,0.6601031515893534,0.0,337469,95.36834347000016,,1
METAWORLD_HF:mw-reach-wall,mgvt_convmixer,6,1,0.5917528355702073,0.0,0.7411391978025793,0.0,0.656381871387385,0.0,337469,95.36834347000016,,1
METAWORLD_HF:mw-reach-wall,mgvt_mamba,1,1,0.17493626951403085,0.0,0.5159483923133273,0.0,0.6219716754726572,0.0,363176,112.18005645299996,mamba_ssm,1
METAWORLD_HF:mw-reach-wall,mgvt_mamba,2,1,0.45904506734691264,0.0,0.6770512252456158,0.0,0.7045944861145996,0.0,363176,112.18005645299996,mamba_ssm,1
METAWORLD_HF:mw-reach-wall,mgvt_mamba,3,1,0.5491484715583956,0.0,0.731704427960489,0.0,0.7269504593587989,0.0,363176,112.18005645299996,mamba_ssm,1
METAWORLD_HF:mw-reach-wall,mgvt_mamba,4,1,0.5920126254541205,0.0,0.7583259740742593,0.0,0.7329097331973937,0.0,363176,112.18005645299996,mamba_ssm,1
METAWORLD_HF:mw-reach-wall,mgvt_mamba,5,1,0.6122806221637878,0.0,0.7703953510433675,0.0,0.7377262004807449,0.0,363176,112.18005645299996,mamba_ssm,1
METAWORLD_HF:mw-reach-wall,mgvt_mamba,6,1,0.621691617140372,0.0,0.7767428003543053,0.0,0.7415155660607424,0.0,363176,112.18005645299996,mamba_ssm,1
PushT,AdaLN,1,1,0.34402667078005145,0.0,0.5804210018841338,0.0,0.9935987822383028,0.0,343480,264.8130691819999,,234
PushT,AdaLN,2,1,0.48045105492630524,0.0,0.6647027018875549,0.0,0.9948797261191256,0.0,343480,264.8130691819999,,234
PushT,AdaLN,3,1,0.5239101218895508,0.0,0.6863627055229613,0.0,0.9945868970239984,0.0,343480,264.8130691819999,,234
