run_id,task,model,seed,horizon,skill,change_skill,proprio_skill,mse_model,mse_persist,proprio_mse_model,proprio_mse_persist,param_count,train_step_time_ms,mamba_backend,deterministic_encode_max_abs_diff
mw_rw_stage2_pred_adaln_depth1_lance_h4_seed1,METAWORLD_HF:mw-reach-wall,AdaLN,1,1,0.37119633618504044,0.6478874758090263,0.9540183398352687,0.04858427319261763,0.07726461531387435,0.0017226266260776254,0.03746334125184351,344680,302.4738639759991,,0.0
mw_rw_stage2_pred_adaln_depth1_lance_h4_seed1,METAWORLD_HF:mw-reach-wall,AdaLN,1,2,0.5996397407776792,0.7830434174363571,0.9591287582488398,0.05243797149923113,0.1309769645995564,0.004085155516319597,0.09995183266492354,344680,302.4738639759991,,0.0
mw_rw_stage2_pred_adaln_depth1_lance_h4_seed1,METAWORLD_HF:mw-reach-wall,AdaLN,1,3,0.677862985689478,0.8282246880700409,0.9562658615062696,0.05519891348977884,0.1713522850142585,0.006187977213024472,0.14149077645399505,344680,302.4738639759991,,0.0
mw_rw_stage2_pred_adaln_depth1_lance_h4_seed1,METAWORLD_HF:mw-reach-wall,AdaLN,1,4,0.7141467421104901,0.8479528671581185,0.9537869645061721,0.057935175084405474,0.20267453137371275,0.007851316161298503,0.16989397206654153,344680,302.4738639759991,,0.0
mw_rw_stage2_pred_adaln_depth1_lance_h4_seed1,METAWORLD_HF:mw-reach-wall,AdaLN,1,5,0.7340105677366509,0.8573416975443966,0.9521266861767694,0.06068362758391433,0.2281430020266109,0.009265704990312871,0.19354634660399622,344680,302.4738639759991,,0.0
mw_rw_stage2_pred_adaln_depth1_lance_h4_seed1,METAWORLD_HF:mw-reach-wall,AdaLN,1,6,0.7435795209300464,0.8609836759818001,0.9507656432504006,0.06365148800114791,0.2482309066421456,0.010479398713084972,0.2128472758643329,344680,302.4738639759991,,0.0
mw_rw_stage2_pred_mgvt_convmixer_lance_h4_seed1,METAWORLD_HF:mw-reach-wall,mgvt_convmixer,1,1,0.13524824877751818,0.5024143068722426,0.5617528894161434,0.06681471140020423,0.07726461531387435,0.41921244953241615,0.9565663741032282,337469,95.36834347000016,,0.0
mw_rw_stage2_pred_mgvt_convmixer_lance_h4_seed1,METAWORLD_HF:mw-reach-wall,mgvt_convmixer,1,2,0.4286165222092049,0.6578361797808285,0.6335380793343124,0.07483807354337639,0.1309769645995564,0.9049921379983425,2.4695393626557456,337469,95.36834347000016,,0.0
mw_rw_stage2_pred_mgvt_convmixer_lance_h4_seed1,METAWORLD_HF:mw-reach-wall,mgvt_convmixer,1,3,0.5165322687714567,0.7061123230005071,0.6519691857282931,0.08284330047667027,0.1713522850142585,1.1855378251439994,3.4064162612292503,337469,95.36834347000016,,0.0
mw_rw_stage2_pred_mgvt_convmixer_lance_h4_seed1,METAWORLD_HF:mw-reach-wall,mgvt_convmixer,1,4,0.5608506037517622,0.7278693812710868,0.6600965658949054,0.08900439808766047,0.20267453137371275,1.3405825170874595,3.94400992333889,337469,95.36834347000016,,0.0
mw_rw_stage2_pred_mgvt_convmixer_lance_h4_seed1,METAWORLD_HF:mw-reach-wall,mgvt_convmixer,1,5,0.5814427498768278,0.7366962636881477,0.6601031515893534,0.09549090756310356,0.2281430020266109,1.4784477681583827,4.349695429868168,337469,95.36834347000016,,0.0
mw_rw_stage2_pred_mgvt_convmixer_lance_h4_seed1,METAWORLD_HF:mw-reach-wall,mgvt_convmixer,1,6,0.5917528355702073,0.7411391978025793,0.656381871387385,0.10133956376049254,0.2482309066421456,1.6094851776957513,4.6839355775382785,337469,95.36834347000016,,0.0
mw_rw_stage2_pred_mgvt_mamba_lance_h4_seed1,METAWORLD_HF:mw-reach-wall,mgvt_mamba,1,1,0.17493626951403085,0.5159483923133273,0.6219716754726572,0.06374823174542851,0.07726461531387435,0.22026709977537393,0.5826735339230962,363176,112.18005645299996,mamba_ssm,0.0
mw_rw_stage2_pred_mgvt_mamba_lance_h4_seed1,METAWORLD_HF:mw-reach-wall,mgvt_mamba,1,2,0.45904506734691264,0.6770512252456158,0.7045944861145996,0.07085263506405884,0.1309769645995564,0.44986967030498715,1.5228885351121426,363176,112.18005645299996,mamba_ssm,0.0
mw_rw_stage2_pred_mgvt_mamba_lance_h4_seed1,METAWORLD_HF:mw-reach-wall,mgvt_mamba,1,3,0.5491484715583956,0.731704427960489,0.7269504593587989,0.07725443960063988,0.1713522850142585,0.5807480311559307,2.1268962027629215,363176,112.18005645299996,mamba_ssm,0.0
mw_rw_stage2_pred_mgvt_mamba_lance_h4_seed1,METAWORLD_HF:mw-reach-wall,mgvt_mamba,1,4,0.5920126254541205,0.7583259740742593,0.7329097331973937,0.08268864994247754,0.20267453137371275,0.6729868181629314,2.519698026511404,363176,112.18005645299996,mamba_ssm,0.0
mw_rw_stage2_pred_mgvt_mamba_lance_h4_seed1,METAWORLD_HF:mw-reach-wall,mgvt_mamba,1,5,0.6122806221637878,0.7703953510433675,0.7377262004807449,0.08845546280344327,0.2281430020266109,0.7488335172997581,2.8551594504382876,363176,112.18005645299996,mamba_ssm,0.0
mw_rw_stage2_pred_mgvt_mamba_lance_h4_seed1,METAWORLD_HF:mw-reach-wall,mgvt_mamba,1,6,0.621691617140372,0.7767428003543053,0.7415155660607424,0.09390783286756939,0.2482309066421456,0.8109442342652214,3.1373039447930124,363176,112.18005645299996,mamba_ssm,0.0
pusht_stage2_pred_adaln_depth1_lance_h4_seed234,PushT,AdaLN,234,1,0.34402667078005145,0.5804210018841338,0.9935987822383028,0.038618871921283306,0.05887262515262165,0.00027734651741953597,0.04332714926198696,343480,264.8130691819999,,0.0
pusht_stage2_pred_adaln_depth1_lance_h4_seed234,PushT,AdaLN,234,2,0.48045105492630524,0.6647027018875549,0.9948797261191256,0.04735853043453531,0.09115316445848583,0.00044349271465493996,0.08661503758841911,343480,264.8130691819999,,0.0
pusht_stage2_pred_adaln_depth1_lance_h4_seed234,PushT,AdaLN,234,3,0.5239101218895508,0.6863627055229613,0.9945868970239984,0.053556596327320315,0.1124926170240813,0.0006067817930096437,0.11209500275530294,343480,264.8130691819999,,0.0
pusht_stage2_pred_adaln_depth1_lance_h4_seed234,PushT,AdaLN,234,4,0.545758924310162,0.6981741358720497,0.9942879273114458,0.05831519300255452,0.1283793917447768,0.0007466404908954834,0.13071270825940248,343480,264.8130691819999,,0.0
pusht_stage2_pred_adaln_depth1_lance_h4_seed234,PushT,AdaLN,234,5,0.5573792555767689,0.7061716797599686,0.9939404457886774,0.06231301091941057,0.1407819486648987,0.0008701758531326082,0.14360393896742907,343480,264.8130691819999,,0.0
pusht_stage2_pred_adaln_depth1_lance_h4_seed234,PushT,AdaLN,234,6,0.5677956854215984,0.7128932240503316,0.9936110959239046,0.06561889449755351,0.15182378399336935,0.0009798047140345066,0.15336037329164579,343480,264.8130691819999,,0.0
pusht_stage2_pred_mgvt_convmixer_lance_h4_seed234,PushT,mgvt_convmixer,234,1,0.30582798127444444,0.5378925602749,0.9864159373674564,0.04086772904986829,0.05887262515262165,0.00029877606284142553,0.021994602860976285,336279,95.22765580000011,,0.0
