task,model,horizon,n,skill_mean,skill_std,change_skill_mean,change_skill_std,moved_region_change_skill_mean,moved_region_change_skill_std,proprio_skill_mean,proprio_skill_std,param_count_mean,flops_per_forward_mean,train_step_time_ms_mean,mamba_backend,seeds
PushT,mgvt_d_mamba,1,1,-5.466025498991977,0.0,-0.955033085457156,0.0,-2.666338493613574,0.0,-0.6624525248162416,0.0,569408,1369473024,226.22425916666666,mamba_ssm,234
PushT,mgvt_d_mamba,2,1,-3.1980039414876895,0.0,-0.33343118849854214,0.0,-1.3656134007239769,0.0,0.13678304580818623,0.0,569408,1369473024,226.22425916666666,mamba_ssm,234
PushT,mgvt_d_mamba,3,1,-2.5944403869823165,0.0,-0.19583932135887272,0.0,-1.0544109152152155,0.0,0.2974685978826094,0.0,569408,1369473024,226.22425916666666,mamba_ssm,234
PushT,mgvt_d_mamba,4,1,-2.197798357312639,0.0,-0.11075972212507446,0.0,-0.8398494594953987,0.0,0.37826938442347435,0.0,569408,1369473024,226.22425916666666,mamba_ssm,234
PushT,mgvt_d_mamba,5,1,-1.975557354810845,0.0,-0.0602802133754885,0.0,-0.7093193180256998,0.0,0.42476815998476114,0.0,569408,1369473024,226.22425916666666,mamba_ssm,234
PushT,mgvt_d_mamba,6,1,-1.7921744898116088,0.0,-0.007932247599000242,0.0,-0.5987787404676559,0.0,0.462686392360404,0.0,569408,1369473024,226.22425916666666,mamba_ssm,234
Wall,mgvt_d_mamba,1,1,-7.213158473630337,0.0,-1.0729224355509546,0.0,-3.92584363528091,0.0,-46.80421374708037,0.0,569376,1369473024,206.67315083333327,mamba_ssm,234
Wall,mgvt_d_mamba,2,1,-4.1637568630531465,0.0,-0.28806223574053,0.0,-1.9816208855099342,0.0,-14.792282826571256,0.0,569376,1369473024,206.67315083333327,mamba_ssm,234
Wall,mgvt_d_mamba,3,1,-3.545205838109152,0.0,-0.09412731217875536,0.0,-1.5590308237279276,0.0,-7.709257049071631,0.0,569376,1369473024,206.67315083333327,mamba_ssm,234
Wall,mgvt_d_mamba,4,1,-3.182399910783076,0.0,-0.0030700896520057253,0.0,-1.3314080173976701,0.0,-4.938976740882932,0.0,569376,1369473024,206.67315083333327,mamba_ssm,234
Wall,mgvt_d_mamba,5,1,-3.003814662017234,0.0,0.046050985336432704,0.0,-1.2113368670596238,0.0,-3.499515862383558,0.0,569376,1369473024,206.67315083333327,mamba_ssm,234
Wall,mgvt_d_mamba,6,1,-2.867625675343603,0.0,0.07547941917518808,0.0,-1.1295799627864849,0.0,-2.6800584526962505,0.0,569376,1369473024,206.67315083333327,mamba_ssm,234
