epoch,itr,loss,gpu-time(ms),iter-time(ms),act_max,act_mean,act_min,act_std,head_loss,info/transition_model/lr,info/transition_model/wd,mgvt_d/d_h_mean,mgvt_d/d_h_std,mgvt_d/guidance_gate_mean,mgvt_d/guidance_norm,optim/transition_model/first_moment,optim/transition_model/grad_norm,optim/transition_model/second_moment,predictor_loss,train_rollout/loss/1,train_rollout/loss/2,train_rollout/loss/3,train_rollout/loss/4,train_rollout/proprio_cos_loss/1,train_rollout/proprio_cos_loss/2,train_rollout/proprio_cos_loss/3,train_rollout/proprio_cos_loss/4,train_rollout/proprio_l1_loss/1,train_rollout/proprio_l1_loss/2,train_rollout/proprio_l1_loss/3,train_rollout/proprio_l1_loss/4,train_rollout/proprio_l2_loss/1,train_rollout/proprio_l2_loss/2,train_rollout/proprio_l2_loss/3,train_rollout/proprio_l2_loss/4,train_rollout/proprio_smooth_l1_loss/1,train_rollout/proprio_smooth_l1_loss/2,train_rollout/proprio_smooth_l1_loss/3,train_rollout/proprio_smooth_l1_loss/4,train_rollout/visual_cos_loss/1,train_rollout/visual_cos_loss/2,train_rollout/visual_cos_loss/3,train_rollout/visual_cos_loss/4,train_rollout/visual_l1_loss/1,train_rollout/visual_l1_loss/2,train_rollout/visual_l1_loss/3,train_rollout/visual_l1_loss/4,train_rollout/visual_l2_loss/1,train_rollout/visual_l2_loss/2,train_rollout/visual_l2_loss/3,train_rollout/visual_l2_loss/4,train_rollout/visual_smooth_l1_loss/1,train_rollout/visual_smooth_l1_loss/2,train_rollout/visual_smooth_l1_loss/3,train_rollout/visual_smooth_l1_loss/4
1,0,2.20096,1056.22119,1171.31042,2.21875,0.01892,-2.21875,0.94922,0.00000,0.00050,0.00000,-0.00027,0.00372,0.50000,0.07546,0.00009,3.50952,0.00000,2.20096,2.26521,2.19250,2.37666,2.42249,-0.28091,-0.13508,-0.00693,0.21979,0.45568,0.45971,0.45951,0.47244,0.30143,0.30507,0.30742,0.32011,0.14960,0.15148,0.15251,0.15866,-0.01801,-0.05618,0.03471,0.05129,1.09906,1.08485,1.13950,1.15513,1.96378,1.88744,2.06924,2.10238,0.69394,0.68089,0.73028,0.74445
1,1,1.95959,114.46054,209.55491,2.25000,-0.14160,-2.09375,0.96875,0.00000,0.00050,0.00000,0.00011,0.00443,0.49805,0.08386,0.00014,3.75376,0.00000,1.95959,2.07854,1.99720,2.08081,2.09751,-0.21429,-0.18345,-0.25511,-0.20414,0.58242,0.58627,0.59299,0.59203,0.51520,0.51690,0.52930,0.53362,0.24604,0.24740,0.25268,0.25371,-0.21825,-0.25978,-0.22417,-0.21798,0.98166,0.96184,0.98079,0.98480,1.56335,1.48030,1.55151,1.56389,0.58882,0.56888,0.58718,0.59210
1,2,1.57602,113.33363,173.69723,2.15625,-0.14355,-2.12500,0.99219,0.00000,0.00050,0.00000,0.00017,0.00568,0.49805,0.10246,0.00017,3.27088,0.00000,1.57602,1.71782,1.63266,1.64911,1.64806,-0.31945,-0.29638,-0.35838,-0.35936,0.57850,0.57457,0.57593,0.58541,0.49872,0.48870,0.49797,0.52082,0.23959,0.23625,0.23962,0.24806,-0.39040,-0.42797,-0.42438,-0.43633,0.87187,0.85043,0.85036,0.84154,1.21910,1.14396,1.15115,1.12724,0.48939,0.46841,0.46937,0.46156
1,3,1.41688,126.41833,182.91855,2.20312,0.04443,-2.14062,0.98828,0.00000,0.00050,0.00000,-0.00047,0.00690,0.49805,0.11689,0.00020,2.78556,0.00000,1.41688,1.53791,1.49182,1.46983,1.47554,-0.34395,-0.34709,-0.38015,-0.37617,0.63373,0.63556,0.62500,0.63067,0.58454,0.59100,0.56698,0.57059,0.27826,0.28134,0.27105,0.27253,-0.52328,-0.54956,-0.54854,-0.54749,0.77071,0.75154,0.75082,0.75167,0.95336,0.90082,0.90285,0.90495,0.40227,0.38490,0.38422,0.38436
1,4,1.06401,118.14493,172.98961,2.32812,-0.06494,-2.31250,1.02344,0.00000,0.00050,0.00000,-0.00034,0.00812,0.49805,0.13068,0.00023,2.37112,0.00000,1.06401,1.12726,1.10100,1.11716,1.13607,-0.55584,-0.54471,-0.55472,-0.55639,0.48090,0.47994,0.48702,0.49246,0.35828,0.35825,0.36517,0.37431,0.17512,0.17460,0.17883,0.18344,-0.61547,-0.62859,-0.62397,-0.61909,0.68750,0.67579,0.67686,0.68188,0.76899,0.74275,0.75199,0.76176,0.33391,0.32398,0.32574,0.32917
1,5,0.91803,121.49338,178.76506,2.29688,0.00656,-2.17188,0.98828,0.00000,0.00050,0.00000,-0.00071,0.00940,0.50000,0.14263,0.00025,2.03198,0.00000,0.91803,0.97669,0.95653,0.95581,0.97843,-0.59644,-0.59098,-0.59925,-0.59566,0.47163,0.46635,0.46359,0.47133,0.33233,0.32507,0.31797,0.32784,0.16448,0.16115,0.15789,0.16223,-0.67780,-0.68424,-0.68105,-0.67468,0.62150,0.61436,0.61568,0.62247,0.64436,0.63146,0.63784,0.65059,0.28406,0.27844,0.27976,0.28460
2,0,0.97480,96.88918,150.72703,1.95312,-0.30664,-2.20312,0.95703,0.00000,0.00050,0.00000,-0.00010,0.01068,0.50000,0.15308,0.00028,1.73733,0.00000,0.97480,1.02356,1.02226,1.02457,1.03351,-0.63964,-0.63576,-0.65130,-0.64496,0.58340,0.58454,0.57748,0.58158,0.47763,0.48151,0.47114,0.47171,0.23251,0.23395,0.22929,0.23020,-0.72702,-0.72961,-0.72326,-0.71908,0.56692,0.56178,0.56775,0.57210,0.54592,0.54075,0.55344,0.56180,0.24331,0.24028,0.24455,0.24775
2,1,0.88479,98.02848,154.19531,2.17188,-0.05420,-2.18750,0.99219,0.00000,0.00050,0.00000,-0.00066,0.01215,0.50000,0.16284,0.00030,1.39138,0.00000,0.88479,0.91278,0.90862,0.93988,0.96043,-0.57770,-0.56520,-0.56405,-0.57069,0.54808,0.55029,0.55474,0.55487,0.43858,0.43707,0.44393,0.44984,0.21399,0.21384,0.21687,0.21889,-0.76288,-0.76421,-0.75201,-0.74469,0.52277,0.51926,0.53306,0.54141,0.47420,0.47155,0.49594,0.51059,0.21269,0.21087,0.22026,0.22607
2,2,0.76244,114.08355,178.93672,2.17188,-0.03638,-2.31250,0.99219,0.00000,0.00050,0.00000,-0.00084,0.01361,0.50000,0.17134,0.00033,1.14968,0.00000,0.76244,0.78196,0.79147,0.81079,0.82192,-0.71606,-0.71151,-0.71136,-0.70872,0.46884,0.47220,0.46658,0.46719,0.35647,0.35799,0.35656,0.36162,0.17311,0.17442,0.17310,0.17450,-0.78724,-0.78325,-0.77287,-0.76984,0.49158,0.49531,0.50767,0.51092,0.42548,0.43348,0.45424,0.46029,0.19181,0.19463,0.20280,0.20517
2,3,0.68154,134.86336,192.11793,1.96875,-0.27539,-2.20312,0.99609,0.00000,0.00050,0.00000,-0.00026,0.01532,0.50000,0.17639,0.00036,0.99532,0.00000,0.68154,0.69659,0.69037,0.72576,0.75274,-0.73680,-0.74739,-0.74070,-0.71962,0.44267,0.43426,0.44073,0.45424,0.30115,0.29071,0.29711,0.31249,0.14808,0.14290,0.14621,0.15402,-0.80227,-0.80016,-0.78566,-0.77986,0.47088,0.47279,0.49069,0.49728,0.39544,0.39966,0.42866,0.44024,0.17888,0.18028,0.19211,0.19663
