task,model,n,skill_mean,skill_std,change_skill_mean,change_skill_std,param_count_mean,train_step_time_ms_mean,mamba_backend,seeds
METAWORLD_HF:mw-reach-wall,AdaLN,3,0.27966637898004515,0.004364908201410134,0.579976303071331,0.00506193110581421,279416,46.37873620999999,,1 2 3
METAWORLD_HF:mw-reach-wall,mgvt_convmixer,3,0.2682010268626416,0.0034887359745152157,0.5700520935801224,0.007748449098562438,283325,38.97699636333342,,1 2 3
METAWORLD_HF:mw-reach-wall,mgvt_mamba,3,0.2305307537478188,0.0034022018062074655,0.5729706217313235,0.004300805070688269,294392,45.69961419066669,mamba_ssm,1 2 3
METAWORLD_HF:mw-reach-wall,mgvt_mlp,3,0.24853500735389852,0.002234592374756314,0.5347585329087182,0.007914232946653537,283934,37.19795691399992,,1 2 3
PushT,AdaLN,3,0.3741891275790174,0.004252141047965321,0.5884826208362233,0.00539264057778639,278376,46.59865243799994,,234 235 236
PushT,mgvt_convmixer,3,0.3323796604389308,0.0055928207310146465,0.5545777961158149,0.004452510769629264,282295,38.77685737533329,,234 235 236
PushT,mgvt_mamba,3,0.31595301289966077,0.003097765361613353,0.5523052774631744,0.0033489827930808487,293512,43.05985399733328,mamba_ssm,234 235 236
PushT,mgvt_mlp,3,0.29402476508040015,0.0024241179258036494,0.48646024788165104,0.0042516646597294296,282874,35.147539134666744,,234 235 236
