task,model,horizon,n,skill_mean,skill_std,change_skill_mean,change_skill_std,moved_region_change_skill_mean,moved_region_change_skill_std,proprio_skill_mean,proprio_skill_std,param_count_mean,flops_per_forward_mean,train_step_time_ms_mean,mamba_backend,seeds
Wall,mgvt_d_raw_action,1,1,-6.912299419221774,0.0,-1.063738986566125,0.0,-3.7869782849316582,0.0,-47.855708256359854,0.0,379776,1367998464,169.3000825,,234
Wall,mgvt_d_raw_action,2,1,-3.985075952617019,0.0,-0.28617231132062515,0.0,-1.909907360777897,0.0,-15.136991272767478,0.0,379776,1367998464,169.3000825,,234
Wall,mgvt_d_raw_action,3,1,-3.395079692108663,0.0,-0.09705921637558834,0.0,-1.5076119598920532,0.0,-7.928931248990352,0.0,379776,1367998464,169.3000825,,234
Wall,mgvt_d_raw_action,4,1,-3.0478701122608767,0.0,-0.0061347532288931195,0.0,-1.2864177972498947,0.0,-5.144991386187828,0.0,379776,1367998464,169.3000825,,234
Wall,mgvt_d_raw_action,5,1,-2.8861779882535763,0.0,0.044170616622159264,0.0,-1.1726949888329985,0.0,-3.6704962338740366,0.0,379776,1367998464,169.3000825,,234
Wall,mgvt_d_raw_action,6,1,-2.769482081960304,0.0,0.07283118153295076,0.0,-1.0987772891888818,0.0,-2.7892128747638787,0.0,379776,1367998464,169.3000825,,234
